f_hz,quant_mean_error,quant_mse,quant_max_abs_error,kaiser_mse,kaiser_max_abs_error,kaiser_amp_error,fourier_mse,fourier_max_abs_error,fourier_amp_error,fixed_mse,fixed_max_abs_error,fixed_amp_error,fixed_minus_kaiser_mse,fixed_minus_kaiser_amp_error
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,-3.0517578120e-07,6.9100558967e-11,3.0517578125e-05,1.1147782731e-12,1.9124377820e-06,1.2522744972e-06,4.4769002078e-26,8.1026573631e-13,4.8849813084e-15,1.0494501540e-10,3.0517578125e-05,2.5116181119e-06,1.0383023712e-10,1.2593436147e-06
2.0000000000e+00,6.9742985258e-17,6.5512347059e-11,1.3819973164e-05,5.4366563719e-13,1.2093274784e-06,5.9076806513e-07,2.7616477938e-26,8.0624396048e-13,-6.3282712404e-15,1.0349406285e-10,3.0517578125e-05,-1.2524488311e-06,1.0295039721e-10,-1.8432168962e-06
3.0000000000e+00,-3.0517578121e-07,6.9100558969e-11,3.0517578125e-05,2.9243608946e-13,8.4824531799e-07,-8.0907531552e-07,1.0310146382e-25,1.0311196341e-12,-6.8833827527e-15,1.0477933316e-10,3.0517578125e-05,4.5510228386e-07,1.0448689707e-10,1.2641775994e-06
4.0000000000e+00,8.0799746776e-17,6.5512347059e-11,1.3819973170e-05,1.6295270508e-12,2.3990346553e-06,-1.0930459271e-07,7.4162551172e-26,1.0516865157e-12,-1.1213252549e-14,1.4635697124e-10,2.7331757685e-05,-4.8654695395e-07,1.4472744419e-10,-3.7724236124e-07
5.0000000000e+00,-1.5258789062e-06,1.0017909712e-10,3.0517578125e-05,2.2520617272e-13,8.4824531776e-07,-1.9972628270e-06,1.8753301417e-26,6.4626082263e-13,5.1070259133e-15,1.6797080884e-10,3.0517578125e-05,-2.4206019231e-06,1.6774560267e-10,-4.2333909611e-07
6.0000000000e+00,3.7477453866e-17,6.5512347060e-11,1.3819973190e-05,1.8815466319e-13,8.4657149957e-07,-3.4576532574e-06,1.4148765637e-25,1.0232370506e-12,-2.1871393585e-14,8.1388642409e-11,3.0517578125e-05,-1.1446627977e-05,8.1200487746e-11,-7.9889747194e-06
7.0000000000e+00,-3.0517578091e-07,6.9100558965e-11,3.0517578125e-05,1.8499974825e-12,2.5843351018e-06,-3.5675981834e-06,5.6821770989e-26,9.0588647694e-13,-7.9936057773e-15,8.2041893955e-11,3.0517578125e-05,-1.9908420607e-05,8.0191896473e-11,-1.6340822423e-05
8.0000000000e+00,4.3390947302e-16,6.5512347059e-11,1.3819973201e-05,2.0233636775e-13,8.4657149968e-07,-6.5561121372e-06,3.2104387057e-26,6.7626459987e-13,-9.9920072216e-15,9.7321039961e-11,2.0146571733e-05,-8.0182998713e-06,9.7118703593e-11,-1.4621877341e-06
9.0000000000e+00,-3.0517578102e-07,6.9100558968e-11,3.0517578125e-05,2.5016813597e-13,8.4824531821e-07,-8.0458816132e-06,3.2954453517e-26,7.5980888248e-13,1.7763568394e-14,9.9403214922e-11,3.0517578125e-05,-8.6396501580e-06,9.9153046786e-11,-5.9376854478e-07
1.0000000000e+01,3.2137555217e-16,9.4414934079e-11,1.3819973231e-05,1.6372921577e-12,2.4169335937e-06,-9.2942587819e-06,1.5858278868e-26,5.9248722063e-13,-4.1078251911e-15,1.0007720651e-10,3.0517578125e-05,-1.1213425815e-05,9.8439914355e-11,-1.9191670331e-06
1.1000000000e+01,-3.0517578112e-07,6.9100558983e-11,3.0517578125e-05,3.4594017431e-13,8.4824531821e-07,-1.3194998671e-05,1.5060524023e-25,1.1288192603e-12,-7.9936057773e-15,1.1876341365e-10,3.7345647371e-05,-1.1708375902e-05,1.1841747348e-10,1.4866227684e-06
1.2000000000e+01,1.8752653510e-16,6.5512347069e-11,1.3819973265e-05,6.3676591180e-13,1.3480794222e-06,-1.4841418675e-05,1.4948675593e-26,6.1446169966e-13,3.3306690739e-15,6.9034286955e-11,1.6697605067e-05,-2.2012797903e-05,6.8397521043e-11,-7.1713792277e-06
1.3000000000e+01,-3.0517578240e-07,6.9100558985e-11,3.0517578125e-05,1.0962674628e-12,1.9149346432e-06,-1.7524738428e-05,2.4496415216e-26,7.2829242637e-13,-9.9920072216e-16,1.0912947683e-10,3.6781589842e-05,-1.9379260533e-05,1.0803320937e-10,-1.8545221053e-06
1.4000000000e+01,1.4917312990e-15,6.5512347064e-11,1.3819973258e-05,4.4155667674e-13,1.0236145825e-06,-2.2146098906e-05,1.2626851833e-26,5.5305759972e-13,-1.1102230246e-15,1.1911726979e-10,3.0517578125e-05,-5.7176617537e-05,1.1867571311e-10,-3.5030518631e-05
1.5000000000e+01,-1.5258789067e-06,1.0017909712e-10,3.0517578125e-05,1.3114505749e-12,2.0997657804e-06,-2.4237049254e-05,1.3541068864e-26,6.7917893531e-13,-1.0769163339e-14,2.1029237724e-10,3.0517578125e-05,-9.0499907296e-05,2.0898092666e-10,-6.6262858043e-05
1.6000000000e+01,1.7379077100e-16,6.5512347065e-11,1.3819973274e-05,5.1508498048e-13,1.1555262154e-06,-2.8594254540e-05,2.8104562276e-26,7.2983286081e-13,7.9936057773e-15,9.9889318500e-11,2.5087302418e-05,-1.2834718500e-04,9.9374233519e-11,-9.9752930459e-05
1.7000000000e+01,-3.0517578153e-07,6.9100558957e-11,3.0517578125e-05,3.6823519967e-13,8.6839771896e-07,-3.3805402473e-05,1.1562028779e-25,8.9983576146e-13,1.5543122345e-15,1.0184486034e-10,3.1018847313e-05,-1.6661387795e-04,1.0147662514e-10,-1.3280847548e-04
1.8000000000e+01,4.2471011246e-16,6.5512347060e-11,1.3819973250e-05,2.0193456537e-12,2.7120928794e-06,-3.6780328976e-05,2.5519048814e-26,7.5001116429e-13,8.8817841970e-15,1.2376021982e-10,3.3084424316e-05,-1.3477062204e-04,1.2174087417e-10,-9.7990293063e-05
1.9000000000e+01,-3.0517578118e-07,6.9100558954e-11,3.0517578125e-05,1.9725345486e-13,8.4824531821e-07,-4.2992545061e-05,1.1346536052e-26,5.7337468107e-13,-9.9920072216e-16,8.4845781042e-11,3.0517578125e-05,-1.1986321440e-04,8.4648527588e-11,-7.6870669344e-05
2.0000000000e+01,8.5097908402e-16,9.4414934083e-11,1.3819973311e-05,2.1090169735e-13,8.0672923752e-07,-4.8794490795e-05,4.9580040489e-26,7.8720496354e-13,-2.9976021665e-15,2.1616374687e-10,2.3805970537e-05,-7.1270322443e-05,2.1595284517e-10,-2.2475831649e-05
2.1000000000e+01,-3.0517578267e-07,6.9100558955e-11,3.0517578125e-05,2.4163119621e-12,2.9907015789e-06,-5.3231508325e-05,1.5850120431e-26,5.7001625642e-13,6.8833827527e-15,9.8539644839e-11,3.4570223258e-05,-6.2872524250e-05,9.6123332876e-11,-9.6410159252e-06
